ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta(sig_up.down)	subtelomeric	category
YHR096C	80	3.08E-12	2.16E-10	0.140325796	0.020121547	5.036244478	1.438840934	0.014804578	0.166332916	0.009122694	0.166332916	HXT5	HXT5	YHR096C	hexose transport || glucose transporter activity* || YHR096C || 1082169	-23.03	0	0.79	down	up	yes	0	5.92E-13	6.21	1.99	1	NA	up	no	ccore_ESR_up
YHR096C	80	3.08E-12	2.16E-10	0.140325796	0.020121547	5.036244478	1.438840934	0.014804578	0.166332916	0.009122694	0.166332916	HXT5	HXT5	YHR096C	hexose transport || glucose transporter activity* || YHR096C || 1082169	-23.03	0	0.79	down	up	yes	0	5.92E-13	6.21	1.99	1	NA	up	no	ESR_up
YBR072W	1	3.35E-57	1.88E-53	0.168231981	0.01055417	4.965469358	2.097397287	0.017838972	0.031995953	0.009371097	0.031995953	HSP26	HSP26	YBR072W	response to stress* || unfolded protein binding || YBR072W || 1084960	-19.12	0	0.68	down	up	yes	0	5.46E-10	6.23	1.66	1	NA	up	no	ccore_ESR_up
YBR072W	1	3.35E-57	1.88E-53	0.168231981	0.01055417	4.965469358	2.097397287	0.017838972	0.031995953	0.009371097	0.031995953	HSP26	HSP26	YBR072W	response to stress* || unfolded protein binding || YBR072W || 1084960	-19.12	0	0.68	down	up	yes	0	5.46E-10	6.23	1.66	1	NA	up	no	ESR_up
YIL160C	718	0.000228739	0.001784323	0.097066945	0.026341385	1.865637364	0.947301101	0.213771407	0.096657984	0.092918404	0.096657984	POT1	POT1	YIL160C	fatty acid beta-oxidation || acetyl-CoA C-acyltransferase activity || YIL160C || 1082968	-15.88	0	0.55	down	NA	yes	0	2.12E-07	3.42	1.52	1	NA	up	no	ESR_up
YJR095W	5729	NA	NA	0.142803818	NA	1.332906173	1.233010187	0.265978481	-0.046880312	NA	NA	SFC1	SFC1	YJR095W	fumarate transport* || succinate:fumarate antiporter activity || YJR095W || 1085959	-15.33	0	0.21	down	NA	NA	0.00735	0.00488	3	2.18	1	NA	NA	no	ESR_up
YLR327C	11	1.00E-23	5.10E-21	0.148090746	0.014748095	3.70786795	2.217311276	0.07733702	-0.006328618	0.019972986	0.019972986	TMA10	YLR327C	YLR327C	biological process unknown || molecular function unknown || YLR327C || 1081648	-14.97	0	0.58	down	up	yes	0	6.62E-08	1.92	1.36	1	NA	NA	no	ccore_ESR_up
YBR054W	1706	0.013693185	0.04492424	0.112159691	0.045496959	5.277387592	1.032524937	0.008842197	0.917241769	0.008495548	0.917241769	YRO2	YRO2	YBR054W	biological process unknown || molecular function unknown || YBR054W || 1083309	-14.97	0	0.43	down	NA	NA	1.00E-05	1.24E-05	4.95	1.57	1	NA	up	no	ESR_up
YLR327C	11	1.00E-23	5.10E-21	0.148090746	0.014748095	3.70786795	2.217311276	0.07733702	-0.006328618	0.019972986	0.019972986	TMA10	YLR327C	YLR327C	biological process unknown || molecular function unknown || YLR327C || 1081648	-14.97	0	0.58	down	up	yes	0	6.62E-08	1.92	1.36	1	NA	NA	no	ESR_up
YGR043C	7	6.19E-29	4.95E-26	0.113768827	0.01019168	4.46608543	1.175934275	0.020354685	0.026115795	0.012162466	0.026115795	NQM1	YGR043C	YGR043C	biological process unknown || transaldolase activity || YGR043C || 1082595	-14.74	0	0.64	down	up	yes	0	6.03E-09	3.13	1.3	1	NA	NA	no	ccore_ESR_up
YGR043C	7	6.19E-29	4.95E-26	0.113768827	0.01019168	4.46608543	1.175934275	0.020354685	0.026115795	0.012162466	0.026115795	NQM1	YGR043C	YGR043C	biological process unknown || transaldolase activity || YGR043C || 1082595	-14.74	0	0.64	down	up	yes	0	6.03E-09	3.13	1.3	1	NA	NA	no	ESR_up
YGL121C	191	4.71E-08	1.38E-06	0.089581209	0.016401158	3.184280066	0.747336256	0.065625047	0.054721788	0.029889617	0.054721788	GPG1	GPG1	YGL121C	signal transduction || signal transducer activity || YGL121C || 1085628	-14.47	0	0.78	down	up	yes	0	1.34E-12	4.01	1.15	1	NA	up	no	ccore_ESR_up
YGL121C	191	4.71E-08	1.38E-06	0.089581209	0.016401158	3.184280066	0.747336256	0.065625047	0.054721788	0.029889617	0.054721788	GPG1	GPG1	YGL121C	signal transduction || signal transducer activity || YGL121C || 1085628	-14.47	0	0.78	down	up	yes	0	1.34E-12	4.01	1.15	1	NA	up	no	ESR_up
YJL116C	8	5.23E-28	3.66E-25	0.211426303	0.01927015	4.621887225	2.953965987	0.02867887	0.137454105	0.011110616	0.137454105	NCA3	NCA3	YJL116C	mitochondrion organization and biogenesis || molecular function unknown || YJL116C || 1084506	-13.99	0	0.74	down	NA	yes	0	2.23E-11	4.13	1.19	1	NA	up	no	ESR_up
YOL155C	3693	0.288718049	0.437572413	0.018875999	0.017791801	7.972978569	0.887135834	0.000511979	0.1411083	0.009267545	0.1411083	HPF1	YOL155C	YOL155C	cell wall organization and biogenesis || glucosidase activity || YOL155C || 1086218	-13.99	0	0.42	down	NA	NA	4.00E-05	2.24E-05	3.35	1.57	1	NA	NA	TEL	TELO
YFL014W	298	1.15E-06	2.16E-05	0.119361775	0.0245418	6.221067266	1.348151569	0.003706009	0.265756578	0.007943737	0.265756578	HSP12	HSP12	YFL014W	response to oxidative stress* || molecular function unknown || YFL014W || 1083992	-13.75	0	0.52	down	up	yes	0	7.11E-07	3.86	1.37	1	NA	up	no	ccore_ESR_up
YFL014W	298	1.15E-06	2.16E-05	0.119361775	0.0245418	6.221067266	1.348151569	0.003706009	0.265756578	0.007943737	0.265756578	HSP12	HSP12	YFL014W	response to oxidative stress* || molecular function unknown || YFL014W || 1083992	-13.75	0	0.52	down	up	yes	0	7.11E-07	3.86	1.37	1	NA	up	no	ESR_up
YJL153C	136	2.89E-09	1.19E-07	0.086855413	0.014627778	6.439831718	0.720080242	0.002114828	0.093613915	0.008074281	0.093613915	INO1	INO1	YJL153C	myo-inositol metabolism || inositol-3-phosphate synthase activity || YJL153C || 1081709	-13.61	0	0.36	down	NA	NA	0.00017	0.000114	1.95	1.62	1	NA	up	no	ESR_up
YPL186C	1757	0.015397563	0.049021707	0.047256289	0.019504095	3.158573903	0.429632504	0.059439459	0.1107518	0.030516964	0.1107518	UIP4	UIP4	YPL186C	biological process unknown || molecular function unknown || YPL186C || 1085973	-13.25	0	0.64	down	up	yes	0	4.52E-09	2.89	1.24	1	NA	up	no	ccore_ESR_up
YPL186C	1757	0.015397563	0.049021707	0.047256289	0.019504095	3.158573903	0.429632504	0.059439459	0.1107518	0.030516964	0.1107518	UIP4	UIP4	YPL186C	biological process unknown || molecular function unknown || YPL186C || 1085973	-13.25	0	0.64	down	up	yes	0	4.52E-09	2.89	1.24	1	NA	up	no	ESR_up
YLR312C	100	7.10E-11	3.98E-09	0.070517185	0.010818047	3.999764967	0.473179994	0.028237135	0.024120907	0.016279592	0.024120907	YLR312C	YLR312C	YLR312C	biological process unknown || molecular function unknown || YLR312C || 1082789	-13.18	0	0.64	down	up	yes	0	4.05E-09	3.1	1.14	1	NA	up	no	ccore_ESR_up
YLR312C	100	7.10E-11	3.98E-09	0.070517185	0.010818047	3.999764967	0.473179994	0.028237135	0.024120907	0.016279592	0.024120907	YLR312C	YLR312C	YLR312C	biological process unknown || molecular function unknown || YLR312C || 1082789	-13.18	0	0.64	down	up	yes	0	4.05E-09	3.1	1.14	1	NA	up	no	ESR_up
YBL049W	62	1.21E-13	1.09E-11	0.085557446	0.011537807	3.598059813	0.496726653	0.03789818	-0.00263082	0.021658728	0.021658728	MOH1	MOH1	YBL049W	biological process unknown || molecular function unknown || YBL049W || 1081344	-13.03	0	0.67	down	up	yes	0	1.21E-09	4.42	1.11	1	NA	up	no	ccore_ESR_up
YBL049W	62	1.21E-13	1.09E-11	0.085557446	0.011537807	3.598059813	0.496726653	0.03789818	-0.00263082	0.021658728	0.021658728	MOH1	MOH1	YBL049W	biological process unknown || molecular function unknown || YBL049W || 1081344	-13.03	0	0.67	down	up	yes	0	1.21E-09	4.42	1.11	1	NA	up	no	ESR_up
YOR173W	433	1.20E-05	0.000154567	0.080356864	0.018353202	4.628062117	0.572432054	0.012872738	0.137825907	0.011072157	0.137825907	DCS2	DCS2	YOR173W	biological process unknown || molecular function unknown || YOR173W || 1082030	-12.74	0	0.68	down	up	yes	0	7.47E-10	3.93	1.14	1	NA	up	no	ccore_ESR_up
YOR173W	433	1.20E-05	0.000154567	0.080356864	0.018353202	4.628062117	0.572432054	0.012872738	0.137825907	0.011072157	0.137825907	DCS2	DCS2	YOR173W	biological process unknown || molecular function unknown || YOR173W || 1082030	-12.74	0	0.68	down	up	yes	0	7.47E-10	3.93	1.14	1	NA	up	no	ESR_up
YNL117W	332	2.29E-06	3.86E-05	0.077313283	0.016359926	2.913339012	0.434700103	0.064613976	0.055128526	0.037342516	0.055128526	MLS1	MLS1	YNL117W	glyoxylate cycle || malate synthase activity || YNL117W || 1086587	-12.37	0	0.11	down	NA	NA	0.0694	0.0494	3.33	2.67	1	NA	up	no	ESR_up
YLR174W	267	4.85E-07	1.02E-05	0.037080969	0.007368919	4.526546486	0.186159054	0.012557677	0.008244694	0.011735999	0.011735999	IDP2	IDP2	YLR174W	glutamate biosynthesis* || isocitrate dehydrogenase (NADP+) activity || YLR174W || 1083584	-12.27	0	0.24	down	NA	NA	0.00393	0.00265	2.4	1.65	1	NA	up	no	ESR_up
YPL223C	3	8.58E-32	1.60E-28	0.149629924	0.012752301	3.621381509	1.347579167	0.051469472	0.013322731	0.021285509	0.021285509	GRE1	GRE1	YPL223C	response to stress* || molecular function unknown || YPL223C || 1086679	-12.15	0	0.46	down	NA	yes	0	4.73E-06	3.41	1.18	1	NA	up	no	ESR_up
YDR171W	153	9.06E-09	3.31E-07	0.11253136	0.019579473	5.75075704	1.130166432	0.006535318	0.164973964	0.007939157	0.164973964	HSP42	HSP42	YDR171W	response to stress* || unfolded protein binding || YDR171W || 1085622	-11.9	0	0.73	down	up	yes	0	3.98E-11	3.41	0.96	1	NA	up	no	ccore_ESR_up
YDR171W	153	9.06E-09	3.31E-07	0.11253136	0.019579473	5.75075704	1.130166432	0.006535318	0.164973964	0.007939157	0.164973964	HSP42	HSP42	YDR171W	response to stress* || unfolded protein binding || YDR171W || 1085622	-11.9	0	0.73	down	up	yes	0	3.98E-11	3.41	0.96	1	NA	up	no	ESR_up
YNL160W	164	1.31E-08	4.48E-07	0.143252632	0.025201446	6.149797598	1.532552211	0.004482613	0.279660114	0.007928288	0.279660114	YGP1	YGP1	YNL160W	response to stress* || molecular function unknown || YNL160W || 1084970	-11.75	0	0.36	down	up	NA	0.00019	0.000126	3.42	1.42	1	NA	up	no	ccore_ESR_up
