ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
1	YBL043W	2716	0.08973261	0.184856894	-0.027630563	0.016283829	3.483338944	0.258674474	0.053418067	0.065213078	0.023622511	0.065213078	ECM13	ECM13	YBL043W	cell wall organization and biogenesis || molecular function unknown || YBL043W || 1082501	-7.84	1e-05	0.24	down	NA	NA	0.00338	0.00229	1.28	1.11	1	NA	NA	no	Insensitive_down
2	YLR160C	2016	0.026619056	0.073872025	-0.026172335	0.011804979	8.434386682	0.469521963	7.2e-05	0.062275114	0.009528699	0.062275114	ASP3-4	ASP3-4	YLR160C	asparagine catabolism* || asparaginase activity || YLR160C || 1081586	-6.23	0.00013	0.13	down	NA	NA	0.044	0.0302	1.92	1.13	1	NA	NA	no	Insensitive_down
3	YLR158C	2015	0.026627146	0.073872025	-0.026169711	0.011804425	8.43437604	0.469507669	7.2e-05	0.062269271	0.009528693	0.062269271	ASP3-3	ASP3-3	YLR158C	asparagine catabolism* || asparaginase activity || YLR158C || 1086390	-6.21	0.00014	0.13	down	NA	NA	0.0446	0.0309	1.92	1.13	1	NA	NA	no	Insensitive_down
4	YLR155C	2013	0.026647779	0.073872025	-0.026167527	0.011805047	8.434377346	0.469516931	7.2e-05	0.062275839	0.009528694	0.062275839	ASP3-1	ASP3-1	YLR155C	asparagine catabolism* || asparaginase activity || YLR155C || 1084569	-6.18	0.00015	0.13	down	NA	NA	0.0468	0.0324	1.91	1.14	1	NA	NA	no	Insensitive_down
5	YGL055W	2062	0.02870525	0.077916239	-0.025970647	0.011872237	9.407816448	0.105880889	9.28e-05	0.062966709	0.009931162	0.062966709	OLE1	OLE1	YGL055W	mitochondrion inheritance* || stearoyl-CoA 9-desaturase activity || YGL055W || 1084114	-6.17	0.00017	0.58	down	NA	NA	0	7.22e-08	1.6	0.55	0.897	NA	NA	no	Insensitive_down
6	YLR157C	2014	0.026641073	0.073872025	-0.02616747	0.0118045	8.434390586	0.469519183	7.2e-05	0.062270055	0.009528701	0.062270055	ASP3-2	ASP3-2	YLR157C	asparagine catabolism* || asparaginase activity || YLR157C || 1086847	-6.12	0.00019	0.13	down	NA	NA	0.0466	0.0322	1.87	1.13	1	NA	NA	no	Insensitive_down
7	YPL058C	881	0.000688284	0.004372672	-0.057801812	0.017029563	7.566412255	0.270162783	0.000604463	0.129141136	0.009002056	0.129141136	PDR12	PDR12	YPL058C	transport* || xenobiotic-transporting ATPase activity* || YPL058C || 1086843	-4.96	0.00158	0.14	down	NA	NA	0.0372	0.0252	0.29	0.85	1	NA	down	no	Insensitive_down
8	YPL201C	658	0.000132011	0.001122894	-0.049087547	0.012841145	3.222203005	0.076779689	0.044780429	-0.005308085	0.02899184	0.02899184	YIG1	YPL201C	YPL201C	biological process unknown || molecular function unknown || YPL201C || 1086058	-4.66	0.00259	0.04	down	NA	NA	0.317	0.266	-0.09	1.41	1	NA	NA	no	Insensitive_down
9	YOL109W	912	0.000797314	0.004893165	-0.027787268	0.008285493	7.24164635	0.153897024	0.000758437	0.029954567	0.008730597	0.029954567	ZEO1	ZEO1	YOL109W	cell wall organization and biogenesis* || molecular function unknown || YOL109W || 1083861	-4.62	0.00275	0.37	down	NA	NA	0.00014	8.44e-05	1.59	0.53	0.871	NA	down	no	Insensitive_down
10	YDL049C	84	5.05e-12	3.37e-10	-0.054570824	0.007904152	5.136848357	0.282475306	0.007034163	0.020916765	0.008826516	0.020916765	KNH1	KNH1	YDL049C	beta-1,6 glucan biosynthesis || molecular function unknown || YDL049C || 1082015	-3.01	0.0377	0.18	NA	NA	NA	0.015	0.00984	0.2	0.46	0.644	NA	down	no	Insensitive_down
