ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
1	YOR208W	81	3.19e-12	2.2e-10	0.035297992	0.005064777	6.073729385	0.161488497	0.002538783	0.008937632	0.007908056	0.008937632	PTP2	PTP2	YOR208W	protein amino acid dephosphorylation* || protein tyrosine phosphatase activity || YOR208W || 1083437	-3.94	0.00898	0.4	NA	NA	NA	6e-05	3.64e-05	1.24	0.43	0.52	NA	up	no	Insensitive_up
2	YJL185C	252	2.83e-07	6.29e-06	0.048985152	0.009540654	4.403800769	0.160299904	0.013650266	0.027072938	0.01262495	0.027072938	YJL185C	YJL185C	YJL185C	biological process unknown || molecular function unknown || YJL185C || 1083541	-3.93	0.00907	0.57	NA	NA	NA	0	1.17e-07	1.04	0.36	0.185	NA	up	no	Insensitive_up
3	YDL199C	364	4.13e-06	6.35e-05	0.037142838	0.008066359	5.228628903	0.105747082	0.005878574	0.023231325	0.008601642	0.023231325	YDL199C	YDL199C	YDL199C	biological process unknown || molecular function unknown || YDL199C || 1084574	-3.91	0.0094	0.49	NA	up	NA	0	2.3e-06	1.13	0.37	0.203	NA	up	no	Insensitive_up
4	YDR358W	1316	0.004252405	0.018071916	0.025115129	0.008785185	5.176072068	0.149108094	0.006076303	0.028452975	0.008725876	0.028452975	GGA1	GGA1	YDR358W	Golgi to vacuole transport || molecular function unknown || YDR358W || 1083012	-3.87	0.0099	0.58	NA	up	NA	0	7.02e-08	1.39	0.35	0.149	NA	up	no	Insensitive_up
5	YGR121C	1118	0.002273041	0.011379435	0.037216249	0.012193957	6.938816039	0.194148506	0.001017246	0.065506237	0.008455747	0.065506237	MEP1	MEP1	YGR121C	ammonium transport || ammonium transporter activity || YGR121C || 1084942	-3.86	0.0101	0.17	NA	NA	NA	0.0198	0.0131	0.8	0.57	0.933	NA	up	no	Insensitive_up
6	YBR149W	546	4.16e-05	0.000426299	0.031160033	0.007602819	7.202263679	0.132603619	0.000857088	0.025003294	0.00869378	0.025003294	ARA1	ARA1	YBR149W	carbohydrate metabolism || aldo-keto reductase activity* || YBR149W || 1082998	-3.85	0.0102	0.53	NA	up	NA	0	4.92e-07	0.99	0.37	0.201	NA	up	no	Insensitive_up
7	YNL274C	1595	0.010011868	0.035132554	0.032665729	0.012683656	5.717383407	0.158439413	0.003457318	0.068516495	0.00795941	0.068516495	GOR1	NA	YNL274C	metabolism || oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor || YNL274C || 1081637	-3.84	0.0105	0.23	NA	up	NA	0.00433	0.0029	0.93	0.56	0.918	NA	down	no	Insensitive_up
8	YLR121C	245	2.55e-07	5.82e-06	0.082741862	0.016053127	6.216525695	0.583425986	0.002494967	0.112798556	0.00794256	0.112798556	YPS3	YPS3	YLR121C	protein metabolism || aspartic-type endopeptidase activity || YLR121C || 1084700	-3.83	0.0105	0.16	NA	NA	NA	0.0237	0.0158	0.88	0.67	0.989	NA	up	no	Insensitive_up
9	YBR223C	541	3.86e-05	0.00039889	0.025353834	0.006160514	4.912026194	0.041865558	0.007394089	0.005432275	0.0095852	0.0095852	TDP1	TDP1	YBR223C	DNA repair || tyrosyl-DNA phosophodiesterase activity || YBR223C || 1082076	-3.8	0.0112	0.43	NA	NA	NA	2e-05	1.32e-05	0.71	0.36	0.16	NA	up	no	Insensitive_up
10	YNL092W	277	7.03e-07	1.42e-05	0.071148015	0.014342974	3.755486888	0.470593383	0.030203897	0.061833441	0.019296128	0.061833441	YNL092W	YNL092W	YNL092W	biological process unknown || S-adenosylmethionine-dependent methyltransferase activity || YNL092W || 1083952	-3.76	0.0117	0.47	NA	NA	NA	0	4.18e-06	1.04	0.39	0.304	NA	up	no	Insensitive_up
11	YPL154C	489	2.43e-05	0.000277709	0.034763072	0.008234673	8.518489804	0.116876386	0.000223073	0.030114326	0.009571537	0.030114326	PEP4	PEP4	YPL154C	sporulation* || endopeptidase activity* || YPL154C || 1081281	-3.76	0.0117	0.34	NA	up	NA	0.00029	0.000172	0.71	0.44	0.565	NA	up	no	Insensitive_up
12	YMR020W	152	8.78e-09	3.23e-07	0.044582209	0.007749777	5.520043007	0.118174295	0.004442847	0.022426929	0.008103554	0.022426929	FMS1	FMS1	YMR020W	pantothenate biosynthesis* || amine oxidase activity || YMR020W || 1082144	-3.73	0.0123	0.57	NA	NA	NA	0	9.07e-08	1.17	0.35	0.142	NA	up	no	Insensitive_up
13	YDR022C	1642	0.011589839	0.03950568	0.027921186	0.011060556	3.736478311	0.064219678	0.025479497	0.029252277	0.019562553	0.029252277	CIS1	CIS1	YDR022C	microtubule cytoskeleton organization and biogenesis || molecular function unknown || YDR022C || 1084275	-3.67	0.0135	0.37	NA	NA	NA	0.00014	8.05e-05	1.1	0.43	0.523	NA	up	no	Insensitive_up
14	YLR205C	562	5e-05	0.000498177	0.041109715	0.010136725	6.286881378	0.207547711	0.00225531	0.043715373	0.007969308	0.043715373	HMX1	HMX1	YLR205C	iron ion homeostasis* || heme binding* || YLR205C || 1081657	-3.66	0.0137	0.15	NA	NA	NA	0.0317	0.0211	0.75	0.65	0.984	NA	up	no	Insensitive_up
15	YNL305C	538	3.71e-05	0.000385672	0.039695115	0.009622802	5.775064056	0.121309522	0.003666436	0.037761064	0.007923915	0.037761064	YNL305C	YNL305C	YNL305C	biological process unknown || molecular function unknown || YNL305C || 1085158	-3.66	0.0137	0.42	NA	up	NA	3e-05	1.75e-05	0.77	0.36	0.159	NA	up	no	Insensitive_up
16	YHL021C	155	1.01e-08	3.65e-07	0.076813556	0.013408061	6.500796267	0.627021677	0.002005517	0.07842439	0.008126029	0.07842439	AIM17	YHL021C	YHL021C	biological process unknown || molecular function unknown || YHL021C || 1082690	-3.65	0.014	0.29	NA	up	NA	0.00107	0.000747	0.86	0.44	0.539	NA	NA	no	Insensitive_up
17	YBR241C	565	5.1e-05	0.000505591	0.039558682	0.009765592	5.899979554	0.104849498	0.002837385	0.039828698	0.007882597	0.039828698	YBR241C	YBR241C	YBR241C	biological process unknown || molecular function unknown || YBR241C || 1080979	-3.64	0.0142	0.25	NA	NA	NA	0.00272	0.00188	0.73	0.48	0.718	NA	up	no	Insensitive_up
18	YPL171C	326	2.13e-06	3.66e-05	0.088197386	0.018605558	2.740408342	0.718455872	0.111665555	-0.065502638	0.043205784	0.043205784	OYE3	OYE3	YPL171C	biological process unknown || NADPH dehydrogenase activity || YPL171C || 1084964	-3.63	0.0145	0.09	NA	NA	NA	0.102	0.0746	-0.47	0.82	1	NA	up	no	Insensitive_up
19	YGL104C	1440	0.006366557	0.02474557	0.040811878	0.014958831	5.147821615	0.204221231	0.005999097	0.09411171	0.008797615	0.09411171	VPS73	VPS73	YGL104C	protein-vacuolar targeting || molecular function unknown || YGL104C || 1081184	-3.61	0.0148	0.32	NA	up	NA	0.00039	0.000286	0.62	0.46	0.641	NA	up	no	Insensitive_up
20	YJL105W	2049	0.027983527	0.076439142	0.041130223	0.018716678	2.576260469	0.215114483	0.106996784	0.039037873	0.049729986	0.049729986	SET4	SET4	YJL105W	biological process unknown || molecular function unknown || YJL105W || 1084811	-3.59	0.0153	0.48	NA	NA	NA	0	3.18e-06	0.84	0.38	0.269	NA	NA	no	Insensitive_up
21	YNL192W	357	3.8e-06	5.95e-05	0.025899312	0.005603179	7.548003759	0.10611203	0.000556866	0.013489196	0.008989279	0.013489196	CHS1	CHS1	YNL192W	cytokinesis, completion of separation* || chitin synthase activity || YNL192W || 1083009	-3.59	0.0152	0.34	NA	NA	NA	0.00032	0.000217	1.18	0.45	0.61	NA	up	no	Insensitive_up
22	YHR157W	141	3.97e-09	1.57e-07	0.108978354	0.018517056	3.349512445	1.099782982	0.063174571	0.090226892	0.026205825	0.090226892	REC104	REC104	YHR157W	meiotic recombination* || molecular function unknown || YHR157W || 1081039	-3.56	0.0159	0.53	NA	NA	NA	0	4.21e-07	1.12	0.34	0.0895	NA	up	no	Insensitive_up
23	YLR273C	1402	0.005788622	0.023109071	0.026061662	0.009444271	4.56503874	0.100511672	0.01173183	0.02817273	0.011476445	0.02817273	PIG1	PIG1	YLR273C	regulation of glycogen biosynthesis || protein phosphatase regulator activity || YLR273C || 1081491	-3.55	0.0163	0.34	NA	NA	NA	0.00032	0.000209	0.86	0.39	0.293	NA	up	no	Insensitive_up
24	YLR216C	99	6.9e-11	3.9e-09	0.039472782	0.006051484	6.651445082	0.180732772	0.001455006	0.014928596	0.008252474	0.014928596	CPR6	CPR6	YLR216C	protein folding || unfolded protein binding* || YLR216C || 1086406	-3.54	0.0164	0.39	NA	NA	NA	1e-04	5.36e-05	0.92	0.38	0.251	NA	up	no	Insensitive_up
25	YLR070C	2121	0.032688075	0.086258914	0.030706865	0.014376588	3.138077187	0.175635094	0.0516611	0.040808143	0.03102834	0.040808143	XYL2	XYL2	YLR070C	monosaccharide metabolism || D-xylulose reductase activity || YLR070C || 1083108	-3.49	0.018	0.45	NA	NA	NA	0	6.68e-06	0.71	0.34	0.0948	NA	NA	no	Insensitive_up
26	YDR277C	1493	0.007504832	0.028134323	0.033833869	0.012654934	4.168810655	0.304378756	0.019620131	0.052028092	0.014580047	0.052028092	MTH1	MTH1	YDR277C	signal transduction* || molecular function unknown || YDR277C || 1084462	-3.47	0.0186	0.21	NA	NA	NA	0.0083	0.00555	0.04	0.56	0.917	NA	up	no	Insensitive_up
27	YJL103C	395	6.92e-06	9.81e-05	0.037072069	0.00824533	4.513150681	0.104956243	0.01218133	0.018234643	0.011828529	0.018234643	GSM1	YJL103C	YJL103C	oxidative phosphorylation || molecular function unknown || YJL103C || 1086851	-3.44	0.0192	0.3	NA	up	NA	7e-04	0.000491	0.45	0.44	0.561	NA	NA	no	Insensitive_up
28	YDL079C	438	1.29e-05	0.000165151	0.063086084	0.014464687	3.405502935	0.364427849	0.040014295	0.053591717	0.025084367	0.053591717	MRK1	MRK1	YDL079C	protein amino acid phosphorylation* || glycogen synthase kinase 3 activity || YDL079C || 1082747	-3.43	0.0195	0.07	NA	NA	NA	0.153	0.117	-1	0.87	1	NA	up	no	Insensitive_up
29	YBR126C	1078	0.00195229	0.010136301	0.035635925	0.011505125	7.873570931	0.172400537	0.000405701	0.058814284	0.009205622	0.058814284	TPS1	TPS1	YBR126C	response to stress* || alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity || YBR126C || 1085765	-3.41	0.0202	0.36	NA	up	NA	0.00019	0.000123	1.09	0.39	0.3	NA	up	no	Insensitive_up
