ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
1	YHR096C	80	3.08e-12	2.16e-10	0.140325796	0.020121547	5.036244478	1.438840934	0.014804578	0.166332916	0.009122694	0.166332916	HXT5	HXT5	YHR096C	hexose transport || glucose transporter activity* || YHR096C || 1082169	-23.03	0	0.79	down	up	yes	0	5.92e-13	6.21	1.99	1	NA	up	no	ccore_ESR_up
2	YBR072W	1	3.35e-57	1.88e-53	0.168231981	0.01055417	4.965469358	2.097397287	0.017838972	0.031995953	0.009371097	0.031995953	HSP26	HSP26	YBR072W	response to stress* || unfolded protein binding || YBR072W || 1084960	-19.12	0	0.68	down	up	yes	0	5.46e-10	6.23	1.66	1	NA	up	no	ccore_ESR_up
3	YLR327C	11	1e-23	5.1e-21	0.148090746	0.014748095	3.70786795	2.217311276	0.07733702	-0.006328618	0.019972986	0.019972986	TMA10	YLR327C	YLR327C	biological process unknown || molecular function unknown || YLR327C || 1081648	-14.97	0	0.58	down	up	yes	0	6.62e-08	1.92	1.36	1	NA	NA	no	ccore_ESR_up
4	YGR043C	7	6.19e-29	4.95e-26	0.113768827	0.01019168	4.46608543	1.175934275	0.020354685	0.026115795	0.012162466	0.026115795	NQM1	YGR043C	YGR043C	biological process unknown || transaldolase activity || YGR043C || 1082595	-14.74	0	0.64	down	up	yes	0	6.03e-09	3.13	1.3	1	NA	NA	no	ccore_ESR_up
5	YGL121C	191	4.71e-08	1.38e-06	0.089581209	0.016401158	3.184280066	0.747336256	0.065625047	0.054721788	0.029889617	0.054721788	GPG1	GPG1	YGL121C	signal transduction || signal transducer activity || YGL121C || 1085628	-14.47	0	0.78	down	up	yes	0	1.34e-12	4.01	1.15	1	NA	up	no	ccore_ESR_up
6	YFL014W	298	1.15e-06	2.16e-05	0.119361775	0.0245418	6.221067266	1.348151569	0.003706009	0.265756578	0.007943737	0.265756578	HSP12	HSP12	YFL014W	response to oxidative stress* || molecular function unknown || YFL014W || 1083992	-13.75	0	0.52	down	up	yes	0	7.11e-07	3.86	1.37	1	NA	up	no	ccore_ESR_up
7	YPL186C	1757	0.015397563	0.049021707	0.047256289	0.019504095	3.158573903	0.429632504	0.059439459	0.1107518	0.030516964	0.1107518	UIP4	UIP4	YPL186C	biological process unknown || molecular function unknown || YPL186C || 1085973	-13.25	0	0.64	down	up	yes	0	4.52e-09	2.89	1.24	1	NA	up	no	ccore_ESR_up
8	YLR312C	100	7.1e-11	3.98e-09	0.070517185	0.010818047	3.999764967	0.473179994	0.028237135	0.024120907	0.016279592	0.024120907	YLR312C	YLR312C	YLR312C	biological process unknown || molecular function unknown || YLR312C || 1082789	-13.18	0	0.64	down	up	yes	0	4.05e-09	3.1	1.14	1	NA	up	no	ccore_ESR_up
9	YBL049W	62	1.21e-13	1.09e-11	0.085557446	0.011537807	3.598059813	0.496726653	0.03789818	-0.00263082	0.021658728	0.021658728	MOH1	MOH1	YBL049W	biological process unknown || molecular function unknown || YBL049W || 1081344	-13.03	0	0.67	down	up	yes	0	1.21e-09	4.42	1.11	1	NA	up	no	ccore_ESR_up
10	YOR173W	433	1.2e-05	0.000154567	0.080356864	0.018353202	4.628062117	0.572432054	0.012872738	0.137825907	0.011072157	0.137825907	DCS2	DCS2	YOR173W	biological process unknown || molecular function unknown || YOR173W || 1082030	-12.74	0	0.68	down	up	yes	0	7.47e-10	3.93	1.14	1	NA	up	no	ccore_ESR_up
11	YDR171W	153	9.06e-09	3.31e-07	0.11253136	0.019579473	5.75075704	1.130166432	0.006535318	0.164973964	0.007939157	0.164973964	HSP42	HSP42	YDR171W	response to stress* || unfolded protein binding || YDR171W || 1085622	-11.9	0	0.73	down	up	yes	0	3.98e-11	3.41	0.96	1	NA	up	no	ccore_ESR_up
12	YNL160W	164	1.31e-08	4.48e-07	0.143252632	0.025201446	6.149797598	1.532552211	0.004482613	0.279660114	0.007928288	0.279660114	YGP1	YGP1	YNL160W	response to stress* || molecular function unknown || YNL160W || 1084970	-11.75	0	0.36	down	up	NA	0.00019	0.000126	3.42	1.42	1	NA	up	no	ccore_ESR_up
13	YML128C	112	2.41e-10	1.2e-08	0.102668364	0.016211905	6.253735865	0.854966738	0.002866519	0.114718965	0.007954525	0.114718965	MSC1	MSC1	YML128C	meiotic recombination || molecular function unknown || YML128C || 1084369	-11.56	0	0.72	down	up	yes	0	5.1e-11	3.04	1.02	1	NA	up	TEL	ccore_ESR_up
14	YGR256W	49	4.27e-15	4.88e-13	0.112377462	0.014321679	4.069289725	0.842209816	0.02585351	0.065910732	0.015545797	0.065910732	GND2	GND2	YGR256W	glucose metabolism || phosphogluconate dehydrogenase (decarboxylating) activity || YGR256W || 1080627	-11.18	0	0.56	down	up	yes	0	1.63e-07	2.94	1.09	1	NA	up	no	ccore_ESR_up
15	YIL136W	183	3.67e-08	1.12e-06	0.074947667	0.013611836	4.526381756	0.408807672	0.014866373	0.06802685	0.01173713	0.06802685	OM45	OM45	YIL136W	biological process unknown || molecular function unknown || YIL136W || 1082389	-11.18	0	0.55	down	up	yes	0	1.95e-07	2.48	1.05	1	NA	up	no	ccore_ESR_up
16	YOL084W	415	1.01e-05	0.000135567	0.087153544	0.019735451	6.140464608	0.814018818	0.003759806	0.170492992	0.007925956	0.170492992	PHM7	PHM7	YOL084W	biological process unknown || molecular function unknown || YOL084W || 1083709	-10.66	0	0.53	down	up	yes	0	4.79e-07	4.04	0.97	1	NA	up	no	ccore_ESR_up
17	YBR169C	128	1.49e-09	6.53e-08	0.051300016	0.008486121	6.139121686	0.316911567	0.002520179	0.029698228	0.007925614	0.029698228	SSE2	SSE2	YBR169C	protein folding || molecular function unknown || YBR169C || 1083474	-10.58	0	0.77	down	up	yes	0	2.94e-12	2.99	0.89	1	NA	up	no	ccore_ESR_up
18	YLL026W	113	3.55e-10	1.76e-08	0.066389228	0.010583954	7.602881759	0.524515431	0.000631178	0.049485408	0.009027176	0.049485408	HSP104	HSP104	YLL026W	response to stress* || chaperone binding* || YLL026W || 1085018	-10.48	0	0.76	down	up	yes	0	3.96e-12	2.83	0.84	1	NA	up	no	ccore_ESR_up
19	YGL156W	229	1.43e-07	3.5e-06	0.090937755	0.017284987	5.876498807	0.699677271	0.003942343	0.129724514	0.007885145	0.129724514	AMS1	AMS1	YGL156W	carbohydrate metabolism* || alpha-mannosidase activity || YGL156W || 1085375	-10.22	0	0.84	down	up	yes	0	3.89e-15	3.02	0.82	1	NA	up	no	ccore_ESR_up
20	YGR088W	532	3.5e-05	0.000368447	0.089468976	0.021620849	6.295650184	0.95625004	0.003285882	0.205851246	0.007973806	0.205851246	CTT1	CTT1	YGR088W	response to stress || catalase activity || YGR088W || 1080876	-10.15	0	0.53	down	up	yes	0	5.52e-07	3.24	1	1	NA	up	no	ccore_ESR_up
21	YAL061W	257	3.56e-07	7.7e-06	0.095302657	0.01871925	5.061147553	0.892338316	0.011132984	0.145636864	0.009043685	0.145636864	BDH2	NA	YAL061W	biological process unknown || oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor || YAL061W || 1080638	-10.01	0	0.42	down	up	NA	4e-05	1.83e-05	3.01	1.09	1	NA	down	TEL	ccore_ESR_up
22	YGR248W	590	6.81e-05	0.000646101	0.097951509	0.024593625	4.323780778	0.949969094	0.030151545	0.240450292	0.013251738	0.240450292	SOL4	SOL4	YGR248W	biological process unknown || 6-phosphogluconolactonase activity || YGR248W || 1080701	-10.01	0	0.51	down	up	yes	0	9.22e-07	3.34	0.98	1	NA	up	no	ccore_ESR_up
23	YHR137W	10	3.61e-25	2.02e-22	0.172070007	0.016602396	3.267223328	1.554131342	0.082911378	0.040406819	0.027967519	0.040406819	ARO9	ARO9	YHR137W	aromatic amino acid family metabolism || aromatic-amino-acid transaminase activity || YHR137W || 1086520	-9.97	0	0.28	down	up	NA	0.0013	0.000951	2.12	1.34	1	NA	up	no	ccore_ESR_up
24	YMR174C	627	0.000101567	0.000906651	0.116587965	0.029995738	2.146464577	0.684395402	0.133449644	0.269086369	0.072411456	0.269086369	PAI3	PAI3	YMR174C	vacuolar protein catabolism || endopeptidase inhibitor activity || YMR174C || 1086588	-9.8	0	0.71	down	up	yes	0	1.07e-10	2.43	0.79	0.999	NA	up	no	ccore_ESR_up
25	YDR070C	118	5.21e-10	2.47e-08	0.11197598	0.018023615	2.978001395	0.823547186	0.081189218	0.064145516	0.035385441	0.064145516	FMP16	YDR070C	YDR070C	biological process unknown || molecular function unknown || YDR070C || 1083116	-9.72	0	0.54	down	up	yes	0	3.1e-07	2.68	0.9	1	NA	NA	no	ccore_ESR_up
26	YMR196W	490	2.46e-05	0.000280505	0.063424622	0.015035337	6.618351049	0.419114999	0.001619502	0.099517941	0.008226443	0.099517941	YMR196W	YMR196W	YMR196W	biological process unknown || molecular function unknown || YMR196W || 1083754	-9.68	0	0.63	down	up	yes	0	7.82e-09	2.45	0.84	1	NA	up	no	ccore_ESR_up
27	YJL161W	507	2.81e-05	0.000309902	0.065543951	0.015648303	3.65027233	0.445285498	0.037075724	0.07247623	0.020834731	0.07247623	FMP33	YJL161W	YJL161W	biological process unknown || molecular function unknown || YJL161W || 1083712	-9.4	0	0.77	down	up	yes	0	1.8e-12	2.53	0.77	0.999	NA	NA	no	ccore_ESR_up
28	YLR178C	238	2e-07	4.71e-06	0.060839141	0.011701867	5.397623193	0.295530303	0.005241997	0.056020676	0.008263439	0.056020676	TFS1	TFS1	YLR178C	regulation of proteolysis and peptidolysis || lipid binding* || YLR178C || 1083918	-8.61	0	0.71	down	up	yes	0	1.13e-10	2.25	0.74	0.997	NA	up	no	ccore_ESR_up
29	YDR258C	474	1.99e-05	0.000235475	0.040005003	0.00937865	6.449327583	0.265922568	0.001663246	0.037688709	0.008082142	0.037688709	HSP78	HSP78	YDR258C	response to stress* || ATPase activity* || YDR258C || 1084111	-8.36	0	0.74	down	up	yes	0	1.91e-11	1.63	0.68	0.991	NA	up	no	ccore_ESR_up
30	YJR008W	5368	0.90725227	0.945845017	0.001511035	0.012969696	5.236497538	0.124232469	0.00586013	0.069396576	0.008583971	0.069396576	YJR008W	YJR008W	YJR008W	biological process unknown || molecular function unknown || YJR008W || 1082730	-8.22	0	0.78	down	up	yes	0	8.1e-13	2.28	0.67	0.99	NA	NA	no	ccore_ESR_up
31	YHR138C	125	9.68e-10	4.33e-08	0.068304758	0.011170684	4.753849185	0.387114402	0.011388194	0.044438923	0.01034455	0.044438923	YHR138C	NA	YHR138C	vacuole fusion, non-autophagic || endopeptidase inhibitor activity || YHR138C || 1084307	-8.21	0	0.64	down	up	yes	0	3.77e-09	2.75	0.71	0.995	NA	down	no	ccore_ESR_up
32	YJL144W	214	9.19e-08	2.4e-06	0.113517449	0.021249675	2.729480629	1.19424479	0.158408588	-0.028712323	0.04360948	0.04360948	YJL144W	YJL144W	YJL144W	response to dessication || molecular function unknown || YJL144W || 1085931	-8.03	1e-05	0.74	down	up	NA	0	2.41e-11	2.99	0.63	0.978	NA	up	no	ccore_ESR_up
33	YLR149C	858	0.000619598	0.00404393	0.064661607	0.018890956	5.273477103	0.653510156	0.007991896	0.151667134	0.008503773	0.151667134	YLR149C	YLR149C	YLR149C	biological process unknown || molecular function unknown || YLR149C || 1081365	-7.95	1e-05	0.68	down	up	NA	0	7.53e-10	2.19	0.7	0.994	NA	up	no	ccore_ESR_up
34	YER103W	2	6.53e-42	1.83e-38	0.101390315	0.007474831	5.62360211	0.936880957	0.005332654	0.019664372	0.008018378	0.019664372	SSA4	SSA4	YER103W	response to stress* || unfolded protein binding || YER103W || 1084435	-7.84	1e-05	0.63	down	up	NA	0	6.17e-09	2.13	0.68	0.991	NA	up	no	ccore_ESR_up
35	YKL026C	728	0.000244671	0.001878494	0.055416305	0.015108972	3.570192906	0.290976486	0.033213297	0.068917207	0.022115895	0.068917207	GPX1	GPX1	YKL026C	response to oxidative stress || glutathione peroxidase activity || YKL026C || 1081772	-7.8	1e-05	0.62	down	up	NA	0	1.02e-08	1.86	0.68	0.991	NA	up	no	ccore_ESR_up
36	YNL009W	3151	0.159694979	0.28357005	0.015575433	0.01107706	3.542818359	0.099923457	0.032318071	-0.006734235	0.022577161	0.022577161	IDP3	IDP3	YNL009W	fatty acid beta-oxidation* || isocitrate dehydrogenase (NADP+) activity || YNL009W || 1085181	-7.8	1e-05	0.54	down	up	NA	0	3.16e-07	1.87	0.71	0.996	NA	NA	no	ccore_ESR_up
37	YKL093W	369	4.35e-06	6.6e-05	0.057738083	0.012568176	3.3189946	0.340741909	0.043826211	0.00471626	0.026842987	0.026842987	MBR1	MBR1	YKL093W	aerobic respiration || molecular function unknown || YKL093W || 1084573	-7.76	1e-05	0.31	down	up	NA	0.00056	0.000439	1.32	0.99	1	NA	up	no	ccore_ESR_up
38	YDL204W	221	1.07e-07	2.72e-06	0.08395234	0.015799535	4.686776347	0.556894318	0.01266601	0.099013697	0.010719179	0.099013697	RTN2	RTN2	YDL204W	biological process unknown || molecular function unknown || YDL204W || 1082119	-7.67	2e-05	0.57	down	up	NA	0	8.48e-08	1.7	0.72	0.996	NA	up	no	ccore_ESR_up
39	YDL110C	262	4.13e-07	8.83e-06	0.041376082	0.008172678	5.042974703	0.244072031	0.006774899	0.023107425	0.009100939	0.023107425	TMA17	YDL110C	YDL110C	biological process unknown || molecular function unknown || YDL110C || 1084277	-7.64	2e-05	0.71	down	up	NA	0	1.02e-10	2.01	0.65	0.984	NA	NA	no	ccore_ESR_up
40	YGR008C	1112	0.00224168	0.011282988	0.048828497	0.01597691	4.906145198	0.351759895	0.008874746	0.105326595	0.009610255	0.105326595	STF2	STF2	YGR008C	ATP synthesis coupled proton transport* || molecular function unknown || YGR008C || 1082502	-7.64	2e-05	0.61	down	up	NA	0	1.56e-08	1.96	0.67	0.989	NA	up	no	ccore_ESR_up
41	YKL151C	644	0.000118953	0.001033824	0.031995286	0.008314193	5.189385644	0.161248061	0.006187656	0.024738495	0.008693325	0.024738495	YKL151C	YKL151C	YKL151C	biological process unknown || molecular function unknown || YKL151C || 1085993	-7.62	2e-05	0.79	down	up	NA	0	3.72e-13	2.11	0.61	0.964	NA	up	no	ccore_ESR_up
