ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
1	YBR118W	4970	0.745728983	0.839807871	0.001534248	0.0047313	11.94840743	0.011291435	1.96e-05	0.008144209	0.009995343	0.009995343	TEF2	TEF2	YBR118W	translational elongation || translation elongation factor activity || YBR118W || 1080814	-4.65	0.00261	0.59	down	down	NA	0	4.28e-08	0.88	0.45	0.616	NA	NA	no	core_ESR_down
2	YLR075W	4137	0.430690259	0.582686338	-0.003747159	0.004755211	9.944341474	0.009059501	5.28e-05	0.004688725	0.010063577	0.010063577	RPL10	RPL10	YLR075W	protein biosynthesis* || structural constituent of ribosome || YLR075W || 1080784	-3.33	0.0229	0.46	NA	down	NA	0	5.87e-06	1.09	0.34	0.101	NA	NA	no	core_ESR_down
3	YMR121C	2233	0.040633057	0.101846493	-0.011296321	0.005517789	5.325385039	0.013254671	0.005223124	0.001319127	0.008398089	0.008398089	RPL15B	RPL15B	YMR121C	protein biosynthesis || structural constituent of ribosome* || YMR121C || 1084662	-3.24	0.0265	0.47	NA	down	NA	0	3.74e-06	1.03	0.27	0.0075	NA	NA	no	core_ESR_down
4	YPR080W	2024	0.026874845	0.074317445	0.010512354	0.004749563	11.63483355	0.017249162	2.95e-05	0.006773249	0.010062888	0.010062888	TEF1	TEF1	YPR080W	translational elongation || translation elongation factor activity || YPR080W || 1083914	-2.7	0.059	0.34	NA	down	NA	0.00031	0.000202	0.56	0.33	0.0804	NA	NA	no	core_ESR_down
5	YML106W	3421	0.21738015	0.355546512	0.005706543	0.00462621	7.777809812	0.013680715	0.000430821	0.001158677	0.009144123	0.009144123	URA5	URA5	YML106W	'de novo' pyrimidine base biosynthesis || orotate phosphoribosyltransferase activity || YML106W || 1083984	-2.69	0.0604	0.14	NA	down	NA	0.0344	0.0231	0.96	0.47	0.681	NA	NA	no	core_ESR_down
6	YHR088W	3528	0.242464156	0.384657563	-0.011468457	0.009811746	5.070510632	0.072454988	0.006853614	0.036216719	0.009015009	0.036216719	RPF1	RPF1	YHR088W	ribosomal large subunit assembly and maintenance* || rRNA primary transcript binding || YHR088W || 1084706	-2.32	0.0994	0.24	NA	down	NA	0.00331	0.00224	0.73	0.29	0.0168	NA	NA	no	core_ESR_down
7	YBL054W	3238	0.176352945	0.304832438	-0.021585105	0.015964489	5.713769992	0.180774042	0.004623478	0.109400361	0.007961584	0.109400361	TOD6	YBL054W	YBL054W	biological process unknown || molecular function unknown || YBL054W || 1086835	-2.13	0.129	0.21	NA	down	NA	0.0075	0.00502	0.36	0.31	0.032	NA	NA	no	core_ESR_down
8	YGL103W	1198	0.002927284	0.013678852	-0.014060365	0.00472574	9.295793059	0.02837804	9.6e-05	0.005548048	0.00989541	0.00989541	RPL28	RPL28	YGL103W	protein biosynthesis || structural constituent of ribosome* || YGL103W || 1081446	-1.98	0.156	0.13	NA	down	NA	0.0425	0.029	0.54	0.25	0.0026	NA	down	no	core_ESR_down
9	YGL008C	1079	0.001955622	0.010136301	-0.017180919	0.005547797	11.60251695	0.094893897	1.06e-05	0.013759135	0.010068695	0.013759135	PMA1	PMA1	YGL008C	regulation of pH* || hydrogen-exporting ATPase activity, phosphorylative mechanism || YGL008C || 1083142	-1.87	0.179	0.1	NA	down	NA	0.0877	0.0634	0.61	0.37	0.215	NA	down	no	core_ESR_down
10	YLR044C	5744	NA	NA	-0.003471804	NA	12.07870681	0.047803052	6.13e-06	0.025591619	NA	NA	PDC1	PDC1	YLR044C	pyruvate metabolism* || pyruvate decarboxylase activity || YLR044C || 1081771	-1.65	0.235	0.02	NA	down	NA	0.438	0.386	0.41	0.74	0.998	NA	NA	no	core_ESR_down
11	YFR001W	1748	0.015074739	0.048268891	-0.021810751	0.008973481	5.043904123	0.05394468	0.007343834	0.028681464	0.009097958	0.028681464	LOC1	LOC1	YFR001W	ribosomal large subunit biogenesis* || mRNA binding || YFR001W || 1082486	-1.56	0.261	0.11	NA	down	NA	0.0743	0.0529	0.43	0.34	0.0951	NA	down	no	core_ESR_down
12	YNL066W	604	7.74e-05	0.000717646	-0.018784278	0.004752899	8.128909949	0.229001869	0.00034351	0.009763037	0.009360682	0.009763037	SUN4	SUN4	YNL066W	mitochondrion organization and biogenesis || glucosidase activity || YNL066W || 1082158	-1.48	0.285	0.02	NA	down	NA	0.43	0.378	0.16	0.62	0.973	NA	down	no	core_ESR_down
13	YAL003W	1800	0.01724792	0.053631449	0.011226094	0.004714113	9.123975706	0.013582549	0.000107096	0.005238371	0.009835177	0.009835177	EFB1	EFB1	YAL003W	translational elongation || translation elongation factor activity || YAL003W || 1085558	-1.46	0.292	0.09	NA	down	NA	0.108	0.0798	0.22	0.31	0.0409	NA	NA	no	core_ESR_down
14	YGR251W	1185	0.002840062	0.013402888	-0.02627786	0.008804663	4.260098694	0.069325776	0.015599972	0.019082588	0.013775172	0.019082588	YGR251W	YGR251W	YGR251W	processing of 20S pre-rRNA || molecular function unknown || YGR251W || 1081371	-1.39	0.314	0.17	NA	down	NA	0.0169	0.0111	0.31	0.18	0	yes	down	no	core_ESR_down
