ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
1	YOL155C	3693	0.288718049	0.437572413	0.018875999	0.017791801	7.972978569	0.887135834	0.000511979	0.1411083	0.009267545	0.1411083	HPF1	YOL155C	YOL155C	cell wall organization and biogenesis || glucosidase activity || YOL155C || 1086218	-13.99	0	0.42	down	NA	NA	4e-05	2.24e-05	3.35	1.57	1	NA	NA	TEL	TELO
2	YIL169C	1737	0.014694968	0.047350452	0.042492029	0.017416118	5.494592818	0.996688476	0.006687867	0.129014796	0.008130327	0.129014796	YIL169C	YIL169C	YIL169C	biological process unknown || molecular function unknown || YIL169C || 1085851	-11.58	0	0.33	down	NA	NA	0.00039	0.000279	2.66	1.53	1	NA	up	TEL	TELO
3	YML128C	112	2.41e-10	1.2e-08	0.102668364	0.016211905	6.253735865	0.854966738	0.002866519	0.114718965	0.007954525	0.114718965	MSC1	MSC1	YML128C	meiotic recombination || molecular function unknown || YML128C || 1084369	-11.56	0	0.72	down	up	yes	0	5.1e-11	3.04	1.02	1	NA	up	TEL	TELO
4	YKL217W	22	5.05e-19	1.28e-16	0.113110864	0.012693092	4.026176049	1.205822902	0.03172534	0.040355609	0.015994857	0.040355609	JEN1	JEN1	YKL217W	lactate transport || lactate transporter activity || YKL217W || 1080916	-11.49	0	0.18	down	NA	NA	0.0169	0.0111	-0.17	1.88	1	NA	up	TEL	TELO
5	YMR322C	5177	0.829152697	0.896420253	0.006514426	0.030188954	2.124894689	0.909092073	0.333932771	-0.029228318	0.073805768	0.073805768	SNO4	SNO4	YMR322C	pyridoxine metabolism || unfolded protein binding* || YMR322C || 1081145	-10.17	0	0.74	down	NA	yes	0	1.42e-11	2.69	0.81	1	NA	NA	TEL	TELO
6	YAL061W	257	3.56e-07	7.7e-06	0.095302657	0.01871925	5.061147553	0.892338316	0.011132984	0.145636864	0.009043685	0.145636864	BDH2	NA	YAL061W	biological process unknown || oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor || YAL061W || 1080638	-10.01	0	0.42	down	up	NA	4e-05	1.83e-05	3.01	1.09	1	NA	down	TEL	TELO
7	YPL280W	1940	0.023236432	0.067038305	0.082727623	0.036451518	2.526957537	0.963637788	0.252142489	0.342309618	0.051894344	0.342309618	HSP32	HSP32	YPL280W	biological process unknown || unfolded protein binding* || YPL280W || 1085743	-9.88	0	0.78	down	NA	yes	0	1e-12	2.58	0.78	0.999	NA	NA	TEL	TELO
8	YLL067C	5068	0.787813927	0.87004628	-0.004102454	0.015242234	4.701705111	0.130670895	0.064587077	0.039352967	0.010633136	0.039352967	YLL067C	YLL067C	YLL067C	biological process unknown || helicase activity || YLL067C || 1085059	-8.11	0	0.63	down	NA	yes	0	7.59e-09	2.07	0.68	0.992	NA	NA	TEL	TELO
9	YPL281C	65	2.04e-13	1.76e-11	0.127706932	0.017384645	3.716469984	0.693404198	0.017664199	0.117548433	0.019848379	0.117548433	ERR2	ERR2	YPL281C	biological process unknown || phosphopyruvate hydratase activity || YPL281C || 1081042	-7.6	2e-05	0.68	down	NA	NA	0	7.79e-10	1.95	0.61	0.967	NA	up	TEL	TELO
10	YEL077C	2807	0.10246373	0.20430691	0.016151582	0.009890591	5.774622265	0.071399415	0.005251377	0.038513942	0.007924198	0.038513942	YEL077C	YEL077C	YEL077C	biological process unknown || helicase activity || YEL077C || 1082656	-7.52	2e-05	0.57	down	NA	NA	0	8.59e-08	1.86	0.64	0.98	NA	NA	TEL	TELO
