ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
1	YBR087W	2462	0.062121765	0.141163882	-0.009458175	0.00507025	5.730676148	0.023945543	0.003549838	0.004130533	0.007951396	0.007951396	RFC5	RFC5	YBR087W	mismatch repair* || DNA clamp loader activity || YBR087W || 1084110	4.03	0.00784	0.45	NA	NA	NA	0	7.26e-06	-0.71	0.41	0.416	NA	NA	no	ESR_down
2	YMR260C	587	6.47e-05	0.000616448	-0.018402361	0.004606168	7.113212879	0.029950313	0.000881605	0.005282977	0.008610558	0.008610558	TIF11	TIF11	YMR260C	translational initiation || translation initiation factor activity || YMR260C || 1086792	4.05	0.00756	0.33	NA	NA	NA	0.00037	0.000256	-0.98	0.41	0.402	NA	down	no	ESR_down
3	YBR233W-A	4126	0.426797966	0.578679315	-0.008798168	0.011071294	3.729754655	0.113067786	0.02877475	0.026063351	0.019657981	0.026063351	DAD3	DAD3	YBR233W-A	mitotic spindle organization and biogenesis in nucleus* || protein binding || YBR233W-A || 1082805	4.06	0.00745	0.44	NA	NA	NA	1e-05	9.89e-06	-0.68	0.4	0.35	NA	NA	no	ESR_down
4	YOR204W	3521	0.240531647	0.382350363	-0.005991312	0.005104815	9.356165342	0.021251925	9.53e-05	0.011563242	0.009915024	0.011563242	DED1	DED1	YOR204W	translational initiation || RNA helicase activity || YOR204W || 1081778	4.06	0.00741	0.34	NA	NA	NA	0.00032	0.000212	-1.29	0.43	0.489	NA	NA	no	ESR_down
5	YEL048C	4046	0.396627748	0.548536078	-0.006624886	0.007815506	4.335446317	0.047025666	0.01416932	0.012375441	0.013158175	0.013158175	TCA17	YEL048C	YEL048C	biological process unknown || molecular function unknown || YEL048C || 1085064	4.07	0.00728	0.56	NA	NA	NA	0	1.78e-07	-0.98	0.37	0.192	NA	NA	no	ESR_down
6	YNL112W	1968	0.024652333	0.070111337	-0.029888227	0.013302531	8.584806753	0.186834027	0.000214953	0.078953874	0.009604261	0.078953874	DBP2	DBP2	YNL112W	mRNA catabolism, nonsense-mediated decay || RNA helicase activity || YNL112W || 1086361	4.07	0.00734	0.54	NA	NA	NA	0	2.97e-07	-0.99	0.38	0.256	NA	NA	no	ESR_down
7	YDL148C	1553	0.008714994	0.031408771	-0.026060201	0.009935127	6.607544282	0.095612529	0.001681273	0.042479077	0.008217613	0.042479077	NOP14	NOP14	YDL148C	processing of 20S pre-rRNA || snoRNA binding || YDL148C || 1083134	4.09	0.00701	0.48	NA	NA	NA	0	2.69e-06	-1.15	0.43	0.495	NA	down	no	ESR_down
8	YPL244C	3358	0.203718963	0.339551827	-0.005942899	0.004675666	6.371379581	0.011937146	0.001759472	0.001038262	0.008021287	0.008021287	HUT1	HUT1	YPL244C	UDP-galactose transport || UDP-galactose transporter activity || YPL244C || 1081802	4.14	0.00645	0.63	NA	NA	NA	0	8.15e-09	-1.09	0.36	0.182	NA	NA	no	ESR_down
9	YLR036C	5322	0.887326734	0.933001641	-0.001136677	0.008022416	4.20156315	0.02386427	0.014510889	0.008963083	0.014282712	0.014282712	YLR036C	YLR036C	YLR036C	biological process unknown || molecular function unknown || YLR036C || 1085141	4.15	0.00636	0.44	NA	NA	NA	1e-05	1.09e-05	-1.04	0.4	0.357	NA	NA	no	ESR_down
10	YCR020C-A	5148	0.820124979	0.891308642	-0.001522357	0.006695085	4.727645227	0.021919842	0.009566616	0.003078688	0.01048724	0.01048724	MAK31	MAK31	YCR020C-A	N-terminal protein amino acid acetylation || amino-acid N-acetyltransferase activity || YCR020C-A || 1081299	4.16	0.00606	0.23	NA	NA	NA	0.00494	0.00331	-0.68	0.47	0.678	NA	NA	no	ESR_down
