ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta.sig_up.down.	subtelomeric	category
1	YHR096C	80	3.08e-12	2.16e-10	0.140325796	0.020121547	5.036244478	1.438840934	0.014804578	0.166332916	0.009122694	0.166332916	HXT5	HXT5	YHR096C	hexose transport || glucose transporter activity* || YHR096C || 1082169	-23.03	0	0.79	down	up	yes	0	5.92e-13	6.21	1.99	1	NA	up	no	ESR_up
2	YBR072W	1	3.35e-57	1.88e-53	0.168231981	0.01055417	4.965469358	2.097397287	0.017838972	0.031995953	0.009371097	0.031995953	HSP26	HSP26	YBR072W	response to stress* || unfolded protein binding || YBR072W || 1084960	-19.12	0	0.68	down	up	yes	0	5.46e-10	6.23	1.66	1	NA	up	no	ESR_up
3	YIL160C	718	0.000228739	0.001784323	0.097066945	0.026341385	1.865637364	0.947301101	0.213771407	0.096657984	0.092918404	0.096657984	POT1	POT1	YIL160C	fatty acid beta-oxidation || acetyl-CoA C-acyltransferase activity || YIL160C || 1082968	-15.88	0	0.55	down	NA	yes	0	2.12e-07	3.42	1.52	1	NA	up	no	ESR_up
4	YJR095W	5729	NA	NA	0.142803818	NA	1.332906173	1.233010187	0.265978481	-0.046880312	NA	NA	SFC1	SFC1	YJR095W	fumarate transport* || succinate:fumarate antiporter activity || YJR095W || 1085959	-15.33	0	0.21	down	NA	NA	0.00735	0.00488	3	2.18	1	NA	NA	no	ESR_up
5	YBR054W	1706	0.013693185	0.04492424	0.112159691	0.045496959	5.277387592	1.032524937	0.008842197	0.917241769	0.008495548	0.917241769	YRO2	YRO2	YBR054W	biological process unknown || molecular function unknown || YBR054W || 1083309	-14.97	0	0.43	down	NA	NA	1e-05	1.24e-05	4.95	1.57	1	NA	up	no	ESR_up
6	YLR327C	11	1e-23	5.1e-21	0.148090746	0.014748095	3.70786795	2.217311276	0.07733702	-0.006328618	0.019972986	0.019972986	TMA10	YLR327C	YLR327C	biological process unknown || molecular function unknown || YLR327C || 1081648	-14.97	0	0.58	down	up	yes	0	6.62e-08	1.92	1.36	1	NA	NA	no	ESR_up
7	YGR043C	7	6.19e-29	4.95e-26	0.113768827	0.01019168	4.46608543	1.175934275	0.020354685	0.026115795	0.012162466	0.026115795	NQM1	YGR043C	YGR043C	biological process unknown || transaldolase activity || YGR043C || 1082595	-14.74	0	0.64	down	up	yes	0	6.03e-09	3.13	1.3	1	NA	NA	no	ESR_up
8	YGL121C	191	4.71e-08	1.38e-06	0.089581209	0.016401158	3.184280066	0.747336256	0.065625047	0.054721788	0.029889617	0.054721788	GPG1	GPG1	YGL121C	signal transduction || signal transducer activity || YGL121C || 1085628	-14.47	0	0.78	down	up	yes	0	1.34e-12	4.01	1.15	1	NA	up	no	ESR_up
9	YJL116C	8	5.23e-28	3.66e-25	0.211426303	0.01927015	4.621887225	2.953965987	0.02867887	0.137454105	0.011110616	0.137454105	NCA3	NCA3	YJL116C	mitochondrion organization and biogenesis || molecular function unknown || YJL116C || 1084506	-13.99	0	0.74	down	NA	yes	0	2.23e-11	4.13	1.19	1	NA	up	no	ESR_up
10	YFL014W	298	1.15e-06	2.16e-05	0.119361775	0.0245418	6.221067266	1.348151569	0.003706009	0.265756578	0.007943737	0.265756578	HSP12	HSP12	YFL014W	response to oxidative stress* || molecular function unknown || YFL014W || 1083992	-13.75	0	0.52	down	up	yes	0	7.11e-07	3.86	1.37	1	NA	up	no	ESR_up
11	YJL153C	136	2.89e-09	1.19e-07	0.086855413	0.014627778	6.439831718	0.720080242	0.002114828	0.093613915	0.008074281	0.093613915	INO1	INO1	YJL153C	myo-inositol metabolism || inositol-3-phosphate synthase activity || YJL153C || 1081709	-13.61	0	0.36	down	NA	NA	0.00017	0.000114	1.95	1.62	1	NA	up	no	ESR_up
12	YPL186C	1757	0.015397563	0.049021707	0.047256289	0.019504095	3.158573903	0.429632504	0.059439459	0.1107518	0.030516964	0.1107518	UIP4	UIP4	YPL186C	biological process unknown || molecular function unknown || YPL186C || 1085973	-13.25	0	0.64	down	up	yes	0	4.52e-09	2.89	1.24	1	NA	up	no	ESR_up
13	YLR312C	100	7.1e-11	3.98e-09	0.070517185	0.010818047	3.999764967	0.473179994	0.028237135	0.024120907	0.016279592	0.024120907	YLR312C	YLR312C	YLR312C	biological process unknown || molecular function unknown || YLR312C || 1082789	-13.18	0	0.64	down	up	yes	0	4.05e-09	3.1	1.14	1	NA	up	no	ESR_up
